STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXP,EMXT,PRCP,TAVG,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/2/1,-4.4,15.5,24.4,49.8,7.7,14,1.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/3/1,-1.1,17.8,28.3,49.8,12.6,18.2,6.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/4/1,2.2,19.1,26.7,91.1,13.6,19.3,7.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/5/1,10,18.5,32.8,26.6,21.4,28,14.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/6/1,11.7,11.2,35,56.5,24.6,30.1,19.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/7/1,16.1,52.1,34.4,152.4,24.3,28.9,19.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/8/1,13.9,33,33.9,110.4,24.3,29.2,19.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/9/1,,51.6,30.6,248.3,,25.1,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/10/1,1.7,0,28.9,0,16.1,22.5,9.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/11/1,-5.6,27.2,24.4,60,9.3,14.1,4.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2000/12/1,-8.9,17,17.2,26,2.1,7.5,-3.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/1/1,-7.8,15.5,22.2,34,4.7,11,-1.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/2/1,-4.4,20.3,23.3,44.1,8.1,13.9,2.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/3/1,-4.4,43.2,23.9,139.7,8.4,14,2.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/4/1,0.6,24.9,32.8,64.8,16.4,23.1,9.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/5/1,4.4,27.7,32.2,92.9,20.3,27,13.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/6/1,16.7,63.5,32.8,201,24.4,29.2,19.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/7/1,15.6,52.1,33.3,119.1,24.4,29,19.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/8/1,16.7,35.6,35.6,105.7,25.6,30.8,20.5
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/9/1,7.2,19.3,30.6,37.1,21,26.1,15.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/10/1,0,27.9,30,49.5,15.4,22,8.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/11/1,-1.7,12.7,26.7,27.6,13.9,19.9,7.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2001/12/1,-2.8,36.8,23.3,52.1,9.9,15.2,4.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/1/1,-6.7,41.1,26.7,155.1,6.6,11.4,1.7
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/2/1,-6.1,27.2,26.7,31.8,8.3,14.6,2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/3/1,-6.1,22.6,28.9,65.3,10.3,17.2,3.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/4/1,-0.6,50,33.3,67,17.4,24.2,10.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/5/1,5,11.7,32.8,21.9,20.2,26.9,13.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/6/1,11.1,28.2,37.2,70.3,25.7,32.5,18.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/7/1,15.6,52.1,37.8,156.9,26.6,32.3,20.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/8/1,15,37.6,37.8,156.2,26.6,32.3,20.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/9/1,,23.1,33.3,62,,27.5,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/10/1,3.9,110,28.9,252.7,16.9,22,11.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/11/1,,24.4,22.8,127.4,,14.5,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2002/12/1,,23.1,17.2,122.9,,10.2,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/1/1,,27.9,15.6,40.7,,7,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/2/1,,50.8,21.1,262.5,,10.9,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/3/1,,30.5,25.6,146,,18.5,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/4/1,,31.8,29.4,134,,21.5,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/5/1,6.1,25.7,33.3,104.2,19.7,25.6,13.8
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/6/1,,38.9,34.4,114,,29.2,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/7/1,18.9,62.2,35,179.5,26.4,31.5,21.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/8/1,15,59.7,35.6,152.3,26.2,31.5,21
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/9/1,8.3,49,32.2,109.7,21.9,27.4,16.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/10/1,,47.2,26.1,79.5,,20.6,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/11/1,,29.2,27.8,39.9,,20,
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2003/12/1,,31.8,16.7,90.2,,11.5,
